Rank,Username,Followers,Following,Uploads,Likes
1,Khabane lame,162400000,78,1251,2500000000
2,charli d'amelio,155700000,1304,2812,11800000000
3,MrBeast,107500000,362,394,1100000000
4,Bella Poarch,94300000,649,771,2400000000
5,Addison Rae,88500000,1,318,5200000000
6,TikTok,83800000,1,1117,337200000
7,Kimberly Loaiza,83100000,378,2070,4100000000
8,Zach King,82100000,144,533,1200000000
9,domelipa,76700000,179,2408,5000000000
10,The Rock,75600000,0,399,578500000
11,cznburak,74900000,0,2800,1500000000
12,Will Smith,74700000,42,337,561900000
13,BTS,71200000,1,232,1500000000
14,BILLIE EILISH,69400000,65,70,453000000
15,Jason Derulo,652200000,34,1007,1300000000
16,WILLIE SALIM,63800000,969,2135,1200000000
17,Selena Gomez,58100000,76,223,646900000
18,Kylie Jenner,56800000,29,489,1500000000
19,YZ,56300000,211,2213,1300000000
20,?????Bayashi,55400000,314,1309,1700000000
21,dixie,55400000,166,879,3300000000
22,VILMEI ?,55400000,936,3541,1700000000
23,Spencer X,55000000,9854,1281,1300000000
24,Karol G,54800000,0,144,473700000
25,Loren Gray,53500000,274,3308,3000000000
26,Real Madrid C.F.,53300000,26,2223,1200000000
27,HOMA,53000000,97,2101,1300000000
28,Michael Le,51000000,456,1435,1500000000
29,Kris HC,50800000,1792,1874,2400000000
30,ROSE,49900000,0,98,594200000
31,ESPN,49500000,174,31600,6400000000
32,blackpinkoficial,49300000,7,268,597900000
33,Brent Rivera,48600000,598,1562,1600000000
34,Carlos Feria,468000003,117,5906,2600000000
35,Ria Ricis,46200000,0,3698,1600000000
36,Champions League,45900000,40,1629,1700000000
37,JoJo Siwa,45800000,101,2578,2000000000
38,Pongamoslo a Prueba,45700000,1101,932,1600000000
39,Netflix,44700000,354,6978,1200000000
40,Joe Albanese,44200000,6251,2674,1800000000
41,Junya/????,44200000,5881,3187,714700000
42,Niana Guerrero,44100000,440,1055,1000000000
43,omari.to,43600000,19,5952,479100000
44,fcbarcelona,43000000,26,3685,1300000000
45,Katteyes,42900000,288,1189,3300000000
46,ROD,42700000,771,2936,2500000000
47,Barstool Sports,42700000,1482,6971,8200000000
48,psg,42600000,42,1789,677200000
49,noelgoescrazy.,41900000,213,1861,723900000
50,XO TEAM,40900000,5,3977,1300000000
51,Gordon Ramsay,40800000,566,579,702300000
52,Anokhina Liza,40800000,48,171,1400000000
53,tuzelity,40300000,336,1058,496500000
54,Shakira,40100000,64,331,291300000
55,BigChungus,40100000,46,350,529800000
56,Lucas and Marcus,39600000,5491,1641,1100000000
57,Montpantoja,39500000,763,1677,2300000000
58,James Charles,39400000,455,985,1400000000
59,Mia K.,38900000,2892,711,644500000
60,Virginia,38900000,13,1502,1100000000
61,KEEMOKAZI,38100000,10,3115,2100000000
62,spursofficial,37900000,45,1901,281900000
63,Scott??,37900000,2482,1101,934000000
64,juventus,37800000,35,3268,667100000
65,Its.michhh????,37700000,2526,2385,2800000000
66,arianagrande,37500000,17,294,295900000
67,Q Park,37400000,5,344,462200000
68,spider_slack,37100000,1059,1043,712400000
69,Kika Kim,37000000,81,1446,1100000000
70,BabyAriel,36800000,873,2775,1900000000
71,BRIANDA??,36700000,348,4176,2800000000
72,ondy mikula,36600000,9960,13200,594800000
73,wigofellas,36300000,25,1779,896900000
74,IShowSpeed,36300000,36,26,271100000
75,Emir Abdul Gani,36100000,468,2402,755300000
76,Gil Croes,35800000,552,805,867700000
77,HotSpanish,35800000,63,1267,964700000
78,Brooke Monk,35000000,2217,4049,3100000000
79,Kirya Kolesnikov,34700000,94,437,786400000
80,kyle thomas??,34600000,4919,144,1700000000
81,Kevin Hart,34500000,17,134,184000000
82,Benji krol,34500000,1061,3859,1900000000
83,Sabrina Carpenter,34100000,1,214,400600000
84,Alejandro Nieto,34000000,340,3666,2700000000
85,Devon Rodriguez,33900000,93,1033,498300000
86,noah beck,33400000,2611,3290,2500000000
87,Enejota,33200000,686,76,205000000
88,BORREGO,32800000,411,948,1100000000
89,Taylor Swift,32700000,0,71,246700000
90,La Rosalia,32700000,1573,231,396500000
91,ThatLittlepuff,32700000,352,1108,824400000
92,LALIGA,32700000,117,3893,439700000
93,Lele Pons ,32600000,595,652,794200000
94,Kunno,32400000,851,4455,3200000000
95,Merrick,32400000,825,1862,65700000
96,Arnaldo Mangini,32300000,105,2052,251800000
97,Fujiiian,32300000,464,1571,1900000000
98,Surthycooks,32300000,176,1242,918400000
99,Faisal shaikh ,3200000,0,456,2000000000
100,ignacia Antonia??,31700000,269,1409,2500000000
